Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
A Comprehensive Tutorial on Video Modeling,https://bryanyzhu.github.io/videomodeling.github.io/,"This Amazon AWS tutorial helps those interested in learning the recent advances in video modeling, performing research and applying them to real-world problems.","Yi Zhu,Yuanjun Xiong,Zhi Zhang,Joseph Tighe,Chuang Gan,Mu Li",Learn & Teach,Video,Data Modeling,English
A Gentle Introduction to Data Science,https://www.youtube.com/watch?v=ZMK5GPXGHEk,"Begin your Data Science journey by listening to a talk by Marc Garcia! The video covers the basics of data science, including artificial intelligence and a practical demo on how to build a hello world machine learning in Python.
","FreeCodeCamp,Marc Garcia",Learn & Teach,"Course,Video","Data Science Basics,AI,Python,Machine Learning",English
A Gentle Introduction to Graph Embeddings,https://pub.towardsai.net/a-gentle-introduction-to-graph-embeddings-c7b3d1db0fa8,"Instead of using traditional machine learning classification tasks, consider using graph neural network (GNN) to perform node classification problems.",Edward Ma,Learn & Teach,Article or Journal,"Data Analysis,Machine Learning",English
"A Gentle Introduction to Model Selection for Machine Learning
",https://machinelearningmastery.com/a-gentle-introduction-to-model-selection-for-machine-learning/,"Given easy-to-use machine learning libraries like scikit-learn and Keras, it is straightforward to fit many different machine learning models on a given predictive modeling dataset.",Jason Brownlee,Learn & Teach,Article or Journal,Model Assessment,English
A One-Stop Shop for Principal Component Analysis,https://towardsdatascience.com/a-one-stop-shop-for-principal-component-analysis-5582fb7e0a9c,Explore principal component analysis with Matt Brems,Matt Brems,Learn & Teach,Article or Journal,Feature Selection,English
A Practical Guide to Building Ethical AI,https://hbr.org/2020/10/a-practical-guide-to-building-ethical-ai,Harvard Business Review presents a guide for organization to use when building AI applications.,Reid Blackman,Learn & Teach,Article or Journal,"AI,Ethics & Bias",English
A Quick Guide to Boosting in ML,https://medium.com/greyatom/a-quick-guide-to-boosting-in-ml-acf7c1585cb5,This post will guide you through an ensemble method known as Boosting. The main idea of boosting is to modify a weak learner to become better.,Jocelyn D'Souza,Learn & Teach,Article or Journal,Bagging and Boosting,English
A Single Attack Disrupted Beef Prices and Prompted Calls for Improved Security,https://www.nsf.org/blog/consumer/cybersecurity-food-agriculture,The result is a heightened awareness in the industry — reflected at food safety conferences that now feature panel discussions on cybersecurity.,National Science Foundation (NSF),Learn & Teach,Article or Journal,"Climate Change & Environment,Cybersecurity & Privacy",English
A/B Testing Statistics Made Simple,https://www.invespcro.com/blog/ab-testing-statistics-made-simple/,"If you’re conducting A/B tests, you need to understand some basics about statistics to validate your tests and their results.",Invesp,Learn & Teach,Article or Journal,A/B Testing,English
Access to Math and Science Content for Youth Who Are Blind or Visually Impaired,https://nfb.org/images/nfb/publications/jbir/jbir19/jbir090101.html,A scientific study on math and science education for blind or visually impaired students.,"Edward C. Bell,Arielle M. Silverman",Learn & Teach,"Curriculum,Article or Journal","Diversity,Accessibility & Data Science",English
Accessing Quantitative Reasoning,https://serc.carleton.edu/NICHE/assessing_qr.html,Assessing student learning is a vital component of any initiative to improve students’ QR/QL skills. The purpose of assessment is to gather information on the effectiveness of pedagogy to inform and/or improve one’s teaching.,Carleton College,Learn & Teach,Curriculum,Quantitative Reasoning,English
Ace the SQL & Data Science Interview,https://datalemur.com/,"Practice SQL Interview and Data Science Interview questions on DataLemur. Made by Nick Singh, Best-Selling Author of Ace the Data Science Interview",Data Lemur,Network & Explore,Career Resources,Data Science Careers,English
"Acing the Data Science Case Study Interview
",https://www.interviewquery.com/blog-data-science-case-study-interview,"Case study problems rigorously examine how a candidate approaches prompts, communicates their findings, and works through roadblocks. ",Interview Query,Network & Explore,Career Resources,"Data Science Careers,Data Analysis",English
Adaptive Learning Systems,https://learninganalytics.upenn.edu/ryanbaker/ITS2022/index.html,"In this class, you will learn about the pedagogy and technology of adaptive learning systems, individualized and personalized technology that helps students construct understanding and develop skill. ",Ryan Baker,Learn & Teach,Course,"Data Science Basics,AI",English
Advancing Equity with Community Data Partnerships: We Need to Hear from You,https://www.whitehouse.gov/ostp/news-updates/2022/09/06/advancing-equity-with-community-data-partnerships-we-need-to-hear-from-you/,"Advancing equity for all Americans requires new data and new ways of sharing that data: to understand who we’re reaching and serving, who we are missing, and how we might design new actions to expand opportunity and address inequities. The White House's Office of Science and Technology Policy and the Office of Management and Budget are eager to hear from you and learn how we can empower more communities to use, produce, and ultimately act on that data.",White House Office of Science and Technology Policy,Research & Practice,Article or Journal,"Diversity,Ethics & Bias",English
Africa UN Knowledge Hub for COVID-19,https://knowledge.uneca.org/covid19/,Africa UN Knowledge Hub for COVID-19 was developed by the UN Development System in Africa as a one-stop-shop on information and resources relevant to Africa on the pandemic.,ECA Library,Research & Practice,"Dataset,Research Guide","COVID,Public Health",English
African COVID-19 Dataset from the World Health Organization,https://who.maps.arcgis.com/apps/dashboards/0c9b3a8b68d0437a8cf28581e9c063a9,COVID-19 dashboard built from WHO healthcare data in Africa.,World Health Organization (WHO),Research & Practice,Dataset,"COVID,Data Visualization,Public Health",English
AI and Compute,https://openai.com/blog/ai-and-compute/,"Learn about the three factors that drive the advance of AI: algorithmic innovation, data, and the amount of compute available for training.",OpenAI,Learn & Teach,Article or Journal,AI,English
AI Ethics Brief,https://brief.montrealethics.ai/,"The mission of the AI Ethics Brief is to democratize AI ethics literacy by creating tangible and applied technical and policy research in the ethical, safe and inclusive development of AI.",Montreal AI Ethics Institute,Learn & Teach,Newsletter,"AI,Ethics & Bias",English
AI Ethics Course,https://aiethicscourse.org/,Watch a collection of lectures on the ethical implications of data and artificial intelligence.,AI Ethics Course,Learn & Teach,"Video,Course","AI,Ethics & Bias",English
AI For Earth Tech Resources,https://www.microsoft.com/en-us/ai/ai-for-earth-tech-resources,"The Microsoft engineering and data science team releases open-source tools, models, infrastructure, data, and APIs to support sustainability and environmental science.",Microsoft,Learn & Teach,"Dataset,Tutorial","AI,Climate Change & Environment,Data Modeling,Data Analysis,Research Tools,Data Science for Good",English
AI For Social Good - AAAI Fall Symposium 2020,https://ai-for-socialgood.github.io/,"Two specific themes of humanitarian relief and healthcare where AI could be used for social good to achieve the United Nations (UN) sustainable development goals in those areas, which touch every aspect of human, social, and economic development.",Association for the Advancement of Artificial Intelligence (AAAI),Research & Practice,"Presentation,Use Case","Public Policy,AI,Data Science for Good",English
AI for Social Good: Unlocking the Opportunity for Positive Impact,https://www.nature.com/articles/s41467-020-15871-z,The AI for Social Good (AI4SG) movement aims to establish interdisciplinary partnerships centred around AI applications towards SDGs. ,Nature,Research & Practice,Article or Journal,"AI,Data Science for Good,Ethics & Bias",English
AI in Healthcare Specialization,https://www.coursera.org/specializations/ai-healthcare,"Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically alter the field of healthcare. Imagine being able to analyze data on patient visits to the clinic, medications prescribed, lab tests, and procedures performed, as well as data outside the health system -- such as social media, purchases made using credit cards, census records, Internet search activity logs that contain valuable health information, and you’ll get a sense of how AI could transform patient care and diagnoses.

",Stanford University,Learn & Teach,Course,"AI,Public Health",English
AI Robot – TJBot,https://www.ibm.com/blogs/global-university-programs/2020/03/leverage-ibm-academic-initiative-resources-for-virtual-learning/,"Get started with easy, step-by-step instructions and pre-written recipes to bring your own AI robot to life. TJBot is a great resource for learning, experimenting, and exploring AI using IBM Watson services.",IBM,Learn & Teach,Tutorial,AI,English
AI Summer,https://theaisummer.com/start-here/,"At AI Summer you can learn everything about Deep Learning from scratch. Start with fundamental concepts and basic architectures, continue with advanced topics and real-life applications, and finally deploy your model to the world.",AI Summer,Learn & Teach,Tutorial,"Deep Learning,AI",English
AI Weekly Newsletter,https://aiweekly.co/,Subscribe to a free weekly collection of AI News and resources on Artificial Intelligence and Machine Learning.,AI Weekly,Learn & Teach,Newsletter,AI,English
AI4All Open Learning,https://ai-4-all.org/open-learning/resources/,"AI4ALL Open Learning creates curriculum, teacher resources, and professional development so that educators of any subject can increase access to AI education in their communities. The AI4ALL Open Learning curriculum is interdisciplinary and approachable for people without CS or math backgrounds.",AI4ALL Open Learning,Learn & Teach,"Tutorial,Curriculum",AI,English
Algorithms for Private Data Analysis,http://www.gautamkamath.com/CS860-fa2020.html,This course is on developing algorithms for differentially private analysis of data. ,Gautam Kamath,Learn & Teach,Course,Data Analysis,English
All Aboard! Making AI Education Accessible,https://drive.google.com/file/d/1ehVTfQVCcTB025Cwj7LGgoawCFJV1YGp/view,All Aboard! is grounded in the accessibility work of the NYU Ability Project and in the work of the NYU Center for Responsible AI (R/AI) that produces comic books and public education courses to reach a broad and diverse audience of learners.,NYU Center for Responsible AI,Learn & Teach,Accessibility Resources,"Accessibility & Data Science,AI,Diversity,Ethics & Bias","American Sign Language,English"
An R Package for Researching Road Safety in New Jersey Using Open Crash Data,https://www.softwareimpacts.com/article/S2665-9638(21)00076-2/fulltext,"New Jersey law requires police officers to document motor vehicle collisions on a standardized form known as NJTR-1. The data collected via this form contain detailed information about motor vehicle crashes as well as drivers, vehicles & pedestrians involved in crashes, a valuable, but often underutilized resource for studying road safety in New Jersey. ",Software Impacts,Research & Practice,Dataset,"R,Public Policy,Data Science for Good",English
Análisis de la homogeneidad de varianza (homocedasticidad),https://www.cienciadedatos.net/documentos/9_homogeneidad_de_varianza_homocedasticidad.html,Formas de contrastar la igualdad de varianza entre dos o más grupos.,JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Statistics,R",Spanish
Análisis de normalidad,https://www.cienciadedatos.net/documentos/pystats06-analisis-normalidad-python.html,"Métodos para contrastar la normalidad de una muestra de datos con Python. Test Shapiro-Wilk, test D'Agostino's K-squared, asimetría (Skewness) y curtosis",JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Statistics,Python",Spanish
Análisis de normalidad,https://www.cienciadedatos.net/documentos/8_analisis_normalidad,Métodos para contrastar la normalidad de una muestra de datos.,JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Statistics,R",Spanish
Análisis de texto (text mining) con Python,https://www.cienciadedatos.net/documentos/py25-text-mining-python.html,Ejemplo de cómo aplicar text mining y análisis de sentimientos a datos de Twitter con python,JOAQUÍN AMAT RODRIGO,Research & Practice,Data Science Challenge / Project,"Natural Language Processing (NLP),Machine Learning",Spanish
Análisis de varianza (ANOVA) con Python,https://www.cienciadedatos.net/documentos/pystats09-analisis-de-varianza-anova-python.html,Análisis de varianza con Python.,JOAQUÍN AMAT RODRIGO,Learn & Teach,Tutorial,"Statistics,Python",Spanish
Análisis de varianza (ANOVA) con R,https://www.cienciadedatos.net/documentos/19_anova,"Apuntes de cómo realizar los distintos tipos de ANOVA en R para comparar múltiples medias.

",JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Statistics,R",Spanish
Análisis discriminante lineal (LDA) y Análisis discriminante cuadrático (QDA),https://www.cienciadedatos.net/documentos/28_linear_discriminant_analysis_lda_y_quadratic_discriminant_analysis_qda,Modelos de clasificación con Análisis discriminante lineal y Análisis discriminante cuadrático con R.,JOAQUÍN AMAT RODRIGO,Learn & Teach,Tutorial,"Machine Learning,R",Spanish
"Analysis Y Decision 
",https://analisisydecision.es/,"El blog de Raúl Vaquerizo (científico de datos) es bastante interesante. Puedes encontrar material de distintos lenguajes (python, R, SAS, etc.) y sobre la estadística en general.",Raul Vaquerizo,Network & Explore,Career Resources,Data Science Careers,Spanish
Analytics Vidhya,https://www.analyticsvidhya.com/,"Explore a free collection of data science courses, including courses, blogs, and hackathons!",Analytics Vidhya,Learn & Teach,"Tutorial,Course","Data Analysis,Data Science Basics",English
Analyze Boston,https://data.boston.gov/,"Explore datasets on issues of finance, city services, public safety, the environment, and more from Boston’s open data hub!",City of Boston,Research & Practice,Dataset,"Cities,Data Analysis,Data Science for Good,Finance,Climate Change & Environment",English
Angel.co Job Portal,https://angel.co/company/angellist/jobs,"Join the world’s largest startup community. Experience the startup ecosystem - invest in startups, research the fastest-growing companies, and find a job you love.",Angel.co,Network & Explore,Career Resources,Data Science Careers,English
Anita B Org Career Development Resources,https://anitab.org/,Envision a future where the people who imagine and build technology mirror the people and societies for whom they build it. Find data science career opportunities for women. ,AnitaB.org,Network & Explore,Career Resources,"Data Science Careers,Diversity",English
"Árboles de decisión con Python: regresión y clasificación
",https://www.cienciadedatos.net/documentos/py07_arboles_decision_python.html,Tutorial sobre modelos de cómo crear modelos de árbol con Python y Scikit-learn 2013.,JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Machine Learning,Python",Spanish
"Árboles de decisión, Random Forest, Gradient Boosting y C5.0",https://www.cienciadedatos.net/documentos/33_arboles_de_prediccion_bagging_random_forest_boosting,"Tutorial sobre modelos Random Forest, Gradient Boosting y cómo crearlos con R.

",JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Machine Learning,R",Spanish
Artificial Intelligence and Machine Learning Tutorials,https://github.com/matthewcarbone/AIML-tutorials#artificial-intelligence-and-machine-learning-tutorials,Improve your knowledge of Artificial Intelligence (AI) and Machine Learning (ML) tools and techniques with these tutorials from Matthew Carbone and Brookhaven National Laboratory.,"Matthew Carbone,Brookhaven National Laboratory",Learn & Teach,Tutorial,"AI,Machine Learning",English
Artificial Intelligence Resources,http://aima.cs.berkeley.edu/books.html,"A comprehensive list of artificial intelligence resources as provided by the University of California, Berkeley, including books and newsletters.","""University of California, Berkeley""",Learn & Teach,"Book,Newsletter",AI,English
Asilomar AI Principles,https://futureoflife.org/2017/08/11/ai-principles/,"The Future of Life Institute (FLI) is an independent non-profit that works to reduce extreme risks from transformative technologies, as well as steer the development and use of these technologies to benefit life. These AI principles were developed in conjunction with the 2017 Asilomar conference.",Future of Life Institute (FLI),Learn & Teach,"Tutorial,Article or Journal","AI,Ethics & Bias",English
Association of Data Scientists,https://www.adasci.org/,Association of Data Scientists (ADaSci) is the premier global professional body of data science & machine learning professionals.,Association of Data Scientists (ADaSci),Network & Explore,"Group,Career Resources",Data Science Careers,English
Assumptions of Linear Regression,https://www.statisticssolutions.com/free-resources/directory-of-statistical-analyses/assumptions-of-linear-regression/,Linear regression is an analysis that assesses whether one or more predictor variables explain the dependent (criterion) variable.  ,Complete Dissertation,Learn & Teach,Tutorial,Linear Regression,English
Attention is all you need; Attentional Neural Network Models with _ukasz Kaiser,https://www.youtube.com/watch?v=rBCqOTEfxvg&ab_channel=PiSchool,"_ukasz Kaiser - Research Scientist at Google Brain - talks about attentional neural network models and the quick developments that have been made in this recent field. In his talk, He explains how such models ""look at the past and generate the next word of the output"" and how to train them.",Lukasz Kaiser,Learn & Teach,Video,"Deep Learning,Machine Learning",English
AudioSet: Fireworks,https://research.google.com/audioset/dataset/fireworks.html,"Find a dataset of sounds of a class of low explosive pyrotechnic devices used for aesthetic and entertainment purposes. 
",AudioSet,Learn & Teach,Dataset,Data Analysis,English
Australia COVID-19 Data,https://github.com/covid-19-au/covid-19-au.github.io,This site shows the latest status of COVID-19 in Australia.,Freddie Wanah,Research & Practice,Dataset,"COVID,Public Health",English
Australia COVID-19 Real Time Report Dashboard,https://covid-19-au.com/,Interactive dashboard showing Australian COVID-19 cases and updates.,Chunyang Chen,Research & Practice,Dataset,"COVID,Public Health",English
Australian Academic and Research Network (AARNet) COVID-19 Data Resource Repository,https://cloudstor.aarnet.edu.au/plus/s/iUPnVvHu3ocu8ai,"COVID-19 related data sources hosted by Johns Hopkins University, Australia","Johns Hopkins University,AARNet’s Health",Research & Practice,Dataset,"COVID,Public Health",English
Availability of ICU Beds in the U.S. by County,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/,Data on the number of intensive care unit beds per capita segragated by county.,"Fred Schulte,Elizabeth Lucas,Jordan Rau,Liz Szabo,Jay Hancock",Research & Practice,Dataset,"Public Health,COVID",English
Awesome Public Datasets,https://github.com/awesomedata/awesome-public-datasets,"Find public datasets via this GitHub. They are collected and tidied from blogs, answers, and user responses. Most of the data sets listed below are free.",Jamin Chen,Research & Practice,Dataset,Data Analysis,English
Azure Video Tutorial - Cloud Computing,https://www.youtube.com/playlist?list=PLmsFUfdnGr3yvt9yfO1vzsudpCXJCpoPi,"Explore video tutorials to learn about Microsoft Azure cloud computing, machine learning and working with data in the Azure cloud environment via this video series.","Microsoft,Microsoft Reactor",Learn & Teach,Video,"Azure,Machine Learning",English
Azure Video Tutorial - Machine Learning,https://www.youtube.com/playlist?list=PLmsFUfdnGr3yWskx7C6wL37SBEDBsyfdx,Learn Microsoft Azure for Machine Learning via this video tutorial series.,"Microsoft,Microsoft Reactor",Learn & Teach,Video,"Azure,Machine Learning",English
Azure Video Tutorial - Working with Data in the Azure Cloud Environment,https://www.youtube.com/playlist?list=PLmsFUfdnGr3xG5Off3xwpwzYiIW5_MDx6,Learn Microsoft Azure for Data Analysis and Management via this video series.,"Microsoft Reactor,Microsoft",Learn & Teach,Video,"Azure,Data Analysis",English
Best Practices for Quantitative Reasoning Instruction,https://serc.carleton.edu/NICHE/best_practices.html,Several pedagogical approaches which are especially important for teaching Quantitative Reasoning.,Carleton College,Learn & Teach,Curriculum,Quantitative Reasoning,English
BETH Dataset,https://www.kaggle.com/katehighnam/beth-dataset,"When deploying machine learning (ML) models in the real world, anomalous data points and shifts in the data distribution are inevitable. From a cyber security perspective, these anomalies and dataset shifts are driven by both defensive and adversarial advancement. To withstand the cost of critical system failure, the development of robust models is therefore key to the performance, protection, and longevity of deployed defensive systems.","Kaggle,Kate Highnam",Research & Practice,Dataset,"Data Analysis,Cybersecurity & Privacy,Machine Learning",English
Big Data and Education Online Course Materials,https://learninganalytics.upenn.edu/MOOT/bigdataeducation.html,"The course will discuss how to use each method to answer education research questions, and to drive intervention and improvement in educational software and systems. Methods will be covered at a theoretical level, and in terms of learning how to apply them in Python or using software tools like RapidMiner. We will also discuss validity and generalizability; establishing how trustworthy and applicable the analysis results.","Ryan Baker,University of Pennsylvania",Learn & Teach,Course,Big Data,English
Big Data and Education: A Course,https://www.edx.org/course/big-data-and-education,Learn the methods and strategies for using large-scale educational data to improve education and make discoveries about learning.,edX,Learn & Teach,Course,Data Science Basics,English
Big Data and Education: A Textbook,https://www.upenn.edu/learninganalytics/MOOT/bigdataeducation.html,Learn the methods and strategies for using large-scale educational data to improve education and make discoveries about learning.,University of Pennsylvania,Learn & Teach,Book,"Data Science Basics,Public Policy",English
Big Data for Little Kids,https://nysci.org/big-data-for-little-kids,"An NSF-funded project with the New York Hall of Science (NYSCI), Big Data for Little Kids teaches data science concepts to children ages 4 – 8 years old. NYSCI developed this program to use the NYSCI’s Design, Make, Play approach to learning. This activity guide follows the NYSCI’s Big Data for Little Kids workshop series “Museum Makers: Designing With Data,” and includes a glossary of the recurrent terms and resources used throughout the program.",New York Hall of Science (NYSCI),Learn & Teach,Curriculum,Data Science Basics,English
"Big Data, Education, and Society",https://learninganalytics.upenn.edu/ryanbaker/BDES2021/index.html,"In this class, we will discuss what learning analytics can do, what it has the potential to do for good, and what the potential is for harm. We will discuss multiple uses and applications of analytics, where simple steps can mitigate risk, the relationship between validity and risk, and where risk mitigation will do more harm than good. We will do so in the context of real-world educational systems, challenges, problems, and with reference to original sources as much as possible.  ",Ryan Baker,Learn & Teach,Course,Big Data,English
Big Interview Online Course,https://www.youtube.com/channel/UCSTikRlwNoBz_tfVlSW4U2g,"Big Interview is an online interview training system used by over 600 universities, government agencies and libraries.",Big Interview,Network & Explore,"Career Resources,Video,Course",Data Science Careers,English
BioPortal Ontology for COVID-19 Cases and Patient Information,http://bioportal.bioontology.org/ontologies/CODO/?p=summary,This COVID-19 Ontology is a data model for publishing COVID-19 data on the web as a knowledge graph.,"Michael DeBellis,Biswanath Dutta",Learn & Teach,"Research Guide,Dataset","COVID,Public Health",English
Bootstrap:Data Science,https://bootstrapworld.org/materials/data-science/,"Evidence-based, integrated materials for grade 7-12 classes",Bootstrap:Data Science,Learn & Teach,Curriculum,Data Science Basics,English
"Bootstrapping, contraste de hipótesis e intervalos de confianza con Python",https://www.cienciadedatos.net/documentos/pystats04-bootstrapping-python.html,Bootstrapping como método no paramétrico para comparar estadísticos y crear intervalos de confianza con Python.,JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Statistics,Python",Spanish
Boston Area Research Initiative's Boston Data Portal,https://dataverse.harvard.edu/dataverse/BARI,"Find data describing the people, places, and events in the greater Boston area that have been made available for research. This includes a variety of data generated by academics, government agencies, and others.","Harvard University,Boston Area Research Initiative",Research & Practice,Dataset,"COVID,Public Health",English
Boston Data Portal,https://cssh.northeastern.edu/bari/boston-data-portal/,"Explore publicly available data products from the Boston Area Research Initiative (BARI) projects, published to foster policy and research collaborations.",Northeastern University,Research & Practice,Dataset,"Cities,Data Analysis",English
Bot-IoT Dataset,https://research.unsw.edu.au/projects/bot-iot-dataset,"The BoT-IoT dataset was created by designing a realistic network environment in the Cyber Range Lab of UNSW Canberra. The network environment incorporated a combination of normal and botnet traffic. The dataset’s source files are provided in different formats, including the original pcap files, the generated argus files and csv files. The files were separated, based on attack category and subcategory, to better assist in labeling process.",University of New South Wales,Research & Practice,Dataset,"Data Analysis,Cybersecurity & Privacy",English
"British Sign Language Glossaries of Curriculum Terms
",https://www.ssc.education.ed.ac.uk/BSL/data/barchart.html,Use this visual glossary of Data Science and Computer Science terms and concepts to learn in BSL (British Sign Language),Scottish Sensory Centre,Learn & Teach,"Tutorial,Video",Accessibility & Data Science,"English,British Sign Language"
Building Blocks for Data Literacy Table,https://tinyurl.com/bbdlv3,The Building Blocks for Data Literacy Table is designed as a reference and discussion-starter for teachers and other educators as we all explore how to engage K-12 students with data. It is a draft — an ongoing work in progress that will evolve with input from readers.,"K. Hunter-Thomson,M. Schauffler",Learn & Teach,Curriculum,Data Science Basics,English
Built in NYC Jobs Board,https://www.builtinnyc.com/jobs,A hub for New York based startups and tech companies. Find STEM jobs that interest you!,Built in NYC,Network & Explore,Career Resources,Data Science Careers,English
C3.ai COVID-19 Data Lake,https://c3.ai/covid/,"The C3 AI COVID-19 Data Lake uniquely integrates multiple data sources in a unified data model, ready for analysis – not just a list of links or a collection of data sets. ",C3 AI,Research & Practice,Dataset,"COVID,Public Health,AI",English
Calibrar modelos de machine learning,https://www.cienciadedatos.net/documentos/py11-calibrar-modelos-machine-learning.html,Tutorial sobre cómo calibrar las probabilidades de un modelo de aprendizaje automático con Python y Scikit-learn. ,JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Machine Learning,Python",Spanish
Canadian Institute for Cybersecurity Datasets,https://www.unb.ca/cic/datasets/index.html,"Canadian Institute for Cybersecurity datasets are used around the world by universities, private industry, and independent researchers. ",Canadian Institute for Cybersecurity,Research & Practice,Dataset,Cybersecurity & Privacy,English
"CareerCon2023
",https://www.sacnas.org/careercon,CAREERCON es... Un evento gratuito de capacitación y colocación laboral para aquellos interesados __en carreras STEM en la industria. Una oportunidad de aprender a aportar todo su ser a la búsqueda de empleo. Una oportunidad para ser emparejado con empleadores listos para contratar para entrevistas.,Society for the Advancement of Chicanos / Hispanics and Native Americans in Science (SACNAS),Network & Explore,Career Resources,STEM,Spanish
Case Interview Frameworks,https://www.caseinterview.com/case_interview_frameworks.pdf,Prepare for a Case Interview with this presentation deck.,Victor Cheng,Network & Explore,Career Resources,"Data Science Careers,Data Analysis",English
Case Interview Marathon Workshop,https://www.caseinterview.com/case_interview_frameworks.pdf,Prepare for a job interview by testing your proficiency with case studies.,Victor Cheng,Network & Explore,Use Case,Case Studies,English
cBioPortal for Cancer Genomics,https://www.cbioportal.org/,Leverage the cBioPortal for Cancer Genomics to identify and compare molecular profiles of different cancer types in a systematic way using data science tools and techniques.,cBioPortal,Research & Practice,Dataset,Bioinformatics,English
CDC COVID Data Tracker,https://covid.cdc.gov/covid-data-tracker/?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fcases-updates%2Fcases-in-us.html#cases_newcaserateper100k,"United States COVID-19 Cases, Deaths, and Laboratory Testing (NAATs) by State, Territory, and Jurisdiction",CDC,Research & Practice,Dataset,"COVID,Data Visualization",English
CDC SARS-CoV-2 Variant Proportions,https://data.cdc.gov/Laboratory-Surveillance/SARS-CoV-2-Variant-Proportions/jr58-6ysp,Weekly estimate of SARS-CoV-2 variant as a proportion of surveillance sequencing,CDC,Research & Practice,Dataset,"COVID,Data Visualization",English
CDC Weekly United States COVID-19 Cases and Deaths by State,https://data.cdc.gov/Case-Surveillance/Weekly-United-States-COVID-19-Cases-and-Deaths-by-/pwn4-m3yp,Weekly United States COVID-19 Cases and Deaths by State,CDC,Research & Practice,Dataset,"COVID,Data Visualization",English
