Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
"Designing Effective Knowledge Networks
",https://sloanreview.mit.edu/article/designing-effective-knowledge-networks/,"In today’s interconnected world, networks for sharing knowledge are increasingly important. By paying careful attention to eight dimensions of network design, leaders of knowledge networks can facilitate desired behaviors and outcomes.

","Katrina Pugh,Laurence Prusak",Learn & Teach,Article or Journal,Knowledge Networks,English
Foundations of Semantic Web Technologies,https://www.semantic-web-book.org/index.html,"Semantic Web is a maturing field of technology that continues to be the emphasis of much focused research. This foundational text introduces the standardized knowledge representation languages for modeling ontologies operating at the core of the semantic web. To support the presentation of each language, the authors explain syntax and underlying intuitions through examples, with separate treatment of the underlying formal semantics. They cover RDF Schema, Web Ontology Language (OWL), rules, and query languages, such as SPARQL. The book also presents recent developments concerning the OWL 2 revision and the forthcoming Rule Interchange Format (RIF).","Pascal Hitzler,Markus Krötzsch,Sebastian Rudolph",Learn & Teach,Book,"Semantic Web,Language modeling,Knowledge Graphs,Ontology","English,German"
"How can we establish more successful knowledge networks in developing countries? Lessons learnt from knowledge networks in Iran
",https://health-policy-systems.biomedcentral.com/articles/10.1186/1478-4505-12-63,"Formal knowledge networks are considered among the solutions for strengthening knowledge translation and one of the elements of innovative systems in developing and developed countries. In the year 2000, knowledge networks were established in Iran’s health system to organize, lead, empower, and coordinate efforts made by health-related research centers in the country. Since the assessment of a knowledge network is one of the main requirements for its success, the current study was designed in two qualitative and quantitative sections to identify the strengths and weaknesses of the established knowledge networks and to assess their efficiency.","Bahareh Yazdizadeh,Reza Majdzadeh,Ali Alami,Sima Amrolalaei",Learn & Teach,Article or Journal,Knowledge Networks,English
How Google's Knowledge Graph works,https://support.google.com/knowledgepanel/answer/9787176?hl=en,"Google’s search results sometimes show information that comes from our Knowledge Graph, our database of billions of facts about people, places, and things. The Knowledge Graph allows us to answer factual questions such as “How tall is the Eiffel Tower?” or “Where were the 2016 Summer Olympics held.” Our goal with the Knowledge Graph is for our systems to discover and surface publicly known, factual information when it’s determined to be useful.",Google,Learn & Teach,Article or Journal,"Ontology,Knowledge Graphs",English
Incorporation of Ontologies in Data Warehouse/Business Intelligence Systems - A Systematic Literature Review,https://www.sciencedirect.com/science/article/pii/S266709682200074X,"Semantic Web (SW) techniques, such as ontologies, are used in Information Systems (IS) to cope with the growing need for sharing and reusing data and knowledge in various research areas. Despite the increasing emphasis on unstructured data analysis in IS, structured data and its analysis remain critical for organizational performance management. This systematic literature review aims at analyzing the incorporation and impact of ontologies in Data Warehouse/Business Intelligence (DW/BI) systems, contributing to the current literature by providing a classification of works based on the field of each case study, SW techniques used, and the authors’ motivations for using them, with a focus on DW/BI design, development and exploration tasks. A search strategy was developed, including the definition of keywords, inclusion and exclusion criteria, and the selection of search engines. Ontologies are mainly defined using the Ontology Web Language standard to support multiple DW/BI tasks, such as Dimensional Modeling, Requirement Analysis, Extract-Transform-Load, and BI Application Design. Reviewed authors present a variety of motivations for ontology-driven solutions in DW/BI, such as eliminating or solving data heterogeneity/semantics problems, increasing interoperability, facilitating integration, or providing semantic content for requirements and data analysis. Further, implications for practice and research agenda are indicated.","Antonio Lorvao Antunes,Elsa Cardoso,Jose Barateiro",Research & Practice,Article or Journal,Ontology,English
Infectious Disease Ontology in the Age of COVID-19,https://osf.io/az6u5/,"Effective response to public health emergencies, such as we are now experiencing with COVID-19, requires data sharing across multiple disciplines and data systems. Ontologies offer a powerful data sharing tool, and this holds especially for those ontologies built on the design principles of the Open Biomedical Ontologies Foundry.","Shane Babcock,John Beverley,Lindsay G. Cowell,Barry Smith",Learn & Teach,"Research Guide,Article or Journal","COVID,Public Health,Ontology",English
"Infrastructure for rapid open knowledge network development
",https://onlinelibrary.wiley.com/doi/full/10.1002/aaai.12038,"The past decade has witnessed a growth in the use of knowledge graph technologies for advanced data search, data integration, and query-answering applications. The leading example of a public, general-purpose open knowledge network (aka knowledge graph) is Wikidata, which has demonstrated remarkable advances in quality and coverage over this time. Proprietary knowledge graphs drive some of the leading applications of the day including, for example, Google Search, Alexa, Siri, and Cortana. Open Knowledge Networks are exciting: they promise the power of structured database-like queries with the potential for the wide coverage that is today only provided by the Web. With the current state of the art, building, using, and scaling large knowledge networks can still be frustratingly slow. This article describes a National Science Foundation Convergence Accelerator project to build a set of Knowledge Network Programming Infrastructure systems to address this issue.

","Michael Cafarella,Michael Anderson,Iz Beltagy,Arie Cattan,Sarah Chasins,Ido Dagan,Doug Downey,Oren Etzioni,Sergey Feldman,Tian Gao,Tom Hope,Kexin Huang,Sophie Johnson,Daniel King,Kyle Lo,Yuze Lou,Matthew Shapiro,Dinghao Shen,Shivashankar Subramanian,Lucy Lu Wang,Yuning Wang,Yitong Wang,Daniel S. Weld,Jenny Vo-Phamhi ,Anna Zeng,Jiayun Zou",Learn & Teach,Article or Journal,Knowledge Networks,English
"Introduction to Knowledge Graphs
",https://developers.arcgis.com/python/guide/part1-introduction-to-knowledge-graphs/,"ArcGIS Knowledge integrates graph and spatial analytics to support data discovery, collaborative investigations, link analysis, and information sharing across organizations. An ArcGIS Enterprise portal configured for ArcGIS Knowledge is required. Find out more at Configure ArcGIS Knowledge

",ArcGIS Developers,Learn & Teach,Article or Journal,Knowledge Graphs,English
"Knowledge Graphs
",https://dl.acm.org/doi/10.1145/3447772,"In this article, we provide a comprehensive introduction to knowledge graphs, which have recently garnered significant attention from both industry and academia in scenarios that require exploiting diverse, dynamic, large-scale collections of data. After some opening remarks, we motivate and contrast various graph-based data models, as well as languages used to query and validate knowledge graphs. We explain how knowledge can be represented and extracted using a combination of deductive and inductive techniques. We conclude with high-level future research directions for knowledge graphs.

","Aidan Hogan,Eva Blomqvist,Michael Cochez,Claudia D'amato,Gerald De Melo,Claudio Gutierrez,Sabrina Kirrane,Jose Emilio Labra Gayo,Roberto Navigli,Sebastian Neumaier,Axel-Cyrille Ngonga Ngomo,Axel Polleres,Sabbir M. Rashid,Anisa Rula,Lukas Schmelzeisen,Juan Sequeda,Steffen Staab,Antoine Zimmermann",Learn & Teach,Article or Journal,Knowledge Graphs,English
Knowledge graphs as tools for explainable machine learning: A survey,https://www.sciencedirect.com/science/article/pii/S0004370221001788,"This paper provides an extensive overview of the use of knowledge graphs in the context of Explainable Machine Learning. As of late, explainable AI has become a very active field of research by addressing the limitations of the latest machine learning solutions that often provide highly accurate, but hardly scrutable and interpretable decisions.","Ilaria Tiddi,Stefan Schlobach",Learn & Teach,Article or Journal,Knowledge Graphs,English
"Knowledge Graphs: Deep Dive into its Theories and Applications
",https://www.analyticsvidhya.com/blog/2023/01/knowledge-graphs-deep-dive-into-its-theories-and-applications/,"This article’s learning goal is to make our data more intelligent and smart using a technique called Knowledge Graphs. KGs score brownie points over the rest of the normal graphs because of the addition of organizing techniques. The article also explores how to find knowledge graphs in the real world and help you build one.


",Akash Das,Learn & Teach,Article or Journal,Knowledge Graphs,English
"Knowledge graphs: Introduction, history, and perspectives
",https://onlinelibrary.wiley.com/doi/10.1002/aaai.12033,"Knowledge graphs (KGs) have emerged as a compelling abstraction for organizing the world's structured knowledge and for integrating information extracted from multiple data sources. They are also beginning to play a central role in representing information extracted by AI systems, and for improving the predictions of AI systems by giving them knowledge expressed in KGs as input. The goals of this article are to (a) introduce KGs and discuss important areas of application that have gained recent prominence; (b) situate KGs in the context of the prior work in AI; and (c) present a few contrasting perspectives that help in better understanding KGs in relation to related technologies.

","Vinay K. Chaudhri,Chaitan Baru,Naren Chittar,Xin Luna Dong,Michael Genesereth,James Hendler,Aditya Kalyanpur,Douglas B. Lenat,Juan Sequeda,Denny Vrandecic,Kuansan Wang",Learn & Teach,Article or Journal,Knowledge Graphs,English
"Knowledge Graphs: Opportunities and Challenges
",https://link.springer.com/article/10.1007/s10462-023-10465-9,"With the explosive growth of artificial intelligence (AI) and big data, it has become vitally important to organize and represent the enormous volume of knowledge appropriately. As graph data, knowledge graphs accumulate and convey knowledge of the real world.","Ciyuan Peng,Feng Xia,Francesco Osborne,Mehdi Naseriparsa",Learn & Teach,Article or Journal,Knowledge Graphs,English
"Knowledge is power: How networks generate, foster, and manage knowledge
",https://collectivemind.medium.com/knowledge-is-power-how-networks-generate-foster-and-manage-knowledge-92e2170f1a95,"We recently defined knowledge generation, exchange, and management as a potential — and common — network function. That’s because unless it’s networked, knowledge remains static: networks put knowledge into motion. Networks create value by orchestrating the flow and combination of knowledge by, for example, moving it to new places, combining formerly isolated pieces of knowledge, connecting islands of knowledge, and reorganizing pieces of knowledge from diverse sources into coherent, tailored packages.

",Collective Mind,Learn & Teach,Article or Journal,Knowledge Networks,English
"Knowledge Network and a Knowledge Network Example
",https://arxiv.org/abs/1911.09899,"Knowledge networks can be defined as social networks that enable the transfer of the knowledge, which is defined as the intellectual product formed as a result of the work of human intelligence, to be transferred to any other means of communication. A knowledge network represents a large number of people, resources and relationships between them, to create the highest value, primarily to accumulate and use knowledge through the process of generating and transmitting knowledge.","Hilmi Bahadir Temur,Ahmet Serdar Yilmaz,Mehmet Tekerek",Learn & Teach,Article or Journal,Knowledge Networks,"English,Turkish"
Managing the Web of Things,https://www.sciencedirect.com/book/9780128097649/managing-the-web-of-things,"Managing the Web of Things: Linking the Real World to the Web presents a consolidated and holistic coverage of engineering, management, and analytics of the Internet of Things. The web has gone through many transformations, from traditional linking and sharing of computers and documents (i.e., Web of Data), to the current connection of people (i.e., Web of People), and to the emerging connection of billions of physical objects (i.e., Web of Things).

","Quan Z. Sheng,Lina Yao,Yongrui Qin,Boualem Benatallah",Research & Practice,Book,Ontology,English
Materials Data Science Ontology (MDS-Onto): Unifying Domain Knowledge in Materials and Applied Data Science,https://commons.case.edu/studentworks/19/,"Ontologies have gained popularity in the scientific community as a means of standardizing concepts and terminology used in metadata across different institutions to facilitate data comprehension, sharing, and reuse. Despite the existence of frameworks and guidelines for building ontologies, the processes and standards used to develop ontologies still differ significantly, particularly in Materials Science. Our goal with the MDS-Onto Framework is to provide a unified and automated system for ontology development in the Materials and Data Sciences. This framework offers recommendations on where to publish ontologies online, how to best integrate them within the semantic web, and which formats to store and share ontologies. The framework aims to enhance the findability and interoperability of these ontologies. One critical component of the MDS-Onto Framework is the bilingual FAIRmaterials Python and R package, a practical and user-friendly tool for scientists to create and visualize ontologies effectively. We also present two domain ontologies created with our framework, X-ray diffraction and Photovoltaics(PV), to demonstrate the practical application and steps for implementing materials in ontology creation and merging. These cases highlight our framework's feasibility and efficiency.

","Van D. Tran,Jonathan E. Gordon,Alexander Harding Bradley,Balashanmuga Priyan Rajamohan,Quynh D. Tran,Gabriel Ponon,Yinghui Wu,Laura S. Bruckman,Ericka I. Barcelos,Roger H. French",Research & Practice,Article or Journal,Ontology,English
"Ontologies and Life Science Data Management
",https://link.springer.com/referenceworkentry/10.1007/978-0-387-39940-9_631,"Biology is a knowledge-rich discipline. Much of bioinformatics can, therefore, be characterized as knowledge management: organizing, storing and representing that knowledge to enable search, reuse and computation.

Most of the knowledge of biology is categorical; statements such as “fish gotta swim, birds gotta fly” cannot be easily represented as mathematical or statistical relationships. These statements can, however, be formalized using ontologies: a form of model which represents the key concepts of a domain.

Ontologies are now widely used in bioinformatics for a variety of tasks, enabling integration and management of multiple data or knowledge sources, and providing a structure for new knowledge as it is created.","Robert Stevens,Philip Lord",Research & Practice,Article or Journal,"Ontology,Bioinformatics",English
Ontologies for Data Science: On Its Application to Data Pipelines,https://link.springer.com/chapter/10.1007/978-3-030-14401-2_16,"Ontologies are usually applied to drive intelligent applications and also as a resource for integrating or extracting information, as in the case of Natural Language Processing (NLP) tasks. Further, ontologies as the Gene Ontology (GO) are used as an artifact for very specific research aims. However, the value of ontologies for data analysis tasks may also go beyond these uses and span supporting the reuse and composition of data acquisition, integration and fusion code. This requires that both data and code artifacts support meta-descriptions using shared conceptualizations. In this paper, we discuss the different concerns in semantically describing data pipelines as a key reusable artifact that could be retrieved, compared and reused with a degree of automation if semantically consistent descriptions are provided. Concretely, we propose attaching semantic descriptions for data and analytic transformations to current backend-independent distributed processing frameworks as Apache Beam, as these already abstract out the specificity of supporting execution engines.

","Miguel-Angel Sicilia,Elena Garcia-Barriocanal,Salvador Sanchez-Alonso,Marcal Mora-Cantallops,Juan-Jose Cuadrado",Research & Practice,Presentation,Ontology,English
"Ontologies for the social sciences: what they are, and why we need them",https://odissei-data.nl/2024/02/22/ontologies-for-the-social-sciences-what-they-are-and-why-we-need-them/,"The aim of this short article is to explore the possible uses of ontologies, as developed in philosophy first and in computer sciences later, and why they are relevant for the social sciences.  After defining what an ontology is, we provide a very minimal yet practical example to illustrate the use of the tool. We conclude by explaining possible applications of ontologies for the FAIRification of social science research, and introducing you to the Awesome List of Ontologies for the Social Sciences.

","Emilio Cammarata,Angelica Maineri",Learn & Teach,Article or Journal,Ontology,English
Ontologies in Big Health Data Analytics: Application to Routine Clinical Data,https://pubmed.ncbi.nlm.nih.gov/30306908/,"Ontologies are an important big-data analytics tool. Historically code lists were created by domain experts and mapped between different coding systems. Ontologies allow us to develop better representations of clinical concepts, data and facilitate better data extracts from routine clinical data. It also makes the process of case identification and key outcome measures transparent. We describe a process we have operationalised in our research. We use ontologies to resolve the semantics of complex health care data. The use of the method is demonstrated through a pregnancy case identification method. Pregnancy data are recorded in different coding systems and stored in different general practice systems; and pregnancy has its own complexities in that not all pregnancies proceed to term, they have different lengths and involve multiple providers of health care.

","Harshana Liyanage,John Williams,Rachel Byford,Lampros Stergioulas,Simon de Lusignan",Research & Practice,Article or Journal,"Ontology,Public Health",English
Ontologies in the Behavioral Sciences: Accelerating Research and the Spread of Knowledge,https://www.ncbi.nlm.nih.gov/books/NBK585838/,"Ontologies in the Behavioral Sciences: Accelerating Research and the Spread of Knowledge describes how ontologies support science and its application to real-world problems. That report details how ontologies function, how they can be engineered to better support the behavioral sciences, and the resources needed to sustain their development and use to help ensure the maximum benefit from investment in behavioral science research. The full report published in May, 2022. This digest version summarizes the primary ideas presented in that report.","National Academies of Sciences, Engineering, and Medicine",Research & Practice,Book,Ontology,English
Ontologies: A Key Tool for Data Scientists and Machine Learning Engineers,https://medium.com/@iamshowkath/ontologies-a-key-tool-for-data-scientists-and-machine-learning-engineers-8a6c6c9d4d76,"In the world of data science and machine learning, ontologies play a vital role in organizing and structuring data. They provide a standardized way to represent knowledge, making it easier for machines to understand and process information. This blog post explores the significance of ontologies and how they are utilized by data scientists and machine learning engineers.",Showkath Naseem,Research & Practice,Article or Journal,Ontology,English
Ontology for Data Analytics,https://link.springer.com/chapter/10.1007/978-3-030-76387-9_6,"Nowadays, with the development of technology, storage, processing, and information extraction of data have become important. Thus, while a system is generated, it should be designed in such a way that works in harmony with each of these data processing steps. Data analytics is one of the methods used to develop such a system. Data analytics applications are used in many different areas such as increasing market shares of a firm, customer behavior analysis, predicting the life of an electronic device, detection of the anomaly on a network, social network analysis, healthcare systems, chemical component interactions, and bank operations. These data analytics applications can obtain data from different sources, and these sources must interact with each other. It is not always easy to design this interactive architecture. These difficulties can be overcome by using ontologies. For data analytics, ontologies can be used for facilitating data collection, improving the quality of the data used, analyzing data, showing the obtained results, and ensuring the reusability of the designed system. In this study, we introduce an overview of data analytics and explain data analytics steps; in addition, we seek to answer the question of how to enrich and improve a data analytics system by using ontologies. We give different examples of how to use ontologies in different steps in the systems. Moreover, we emphasize the pros and cons of using ontologies in data analytics. We then discuss the future outlook for these ontologies for data analytics.

",Fatmana Şentürk,Research & Practice,Article or Journal,Ontology,English
Ontology-based Access Control for FAIR Data,https://direct.mit.edu/dint/article/2/1-2/66/9993/Ontology-based-Access-Control-for-FAIR-Data,"This paper focuses on fine-grained, secure access to FAIR data, for which we propose ontology-based data access policies. These policies take into account both the FAIR aspects of the data relevant to access (such as provenance and licence), expressed as metadata, and additional metadata describing users. With this tripartite approach (data, associated metadata expressing FAIR information, and additional metadata about users), secure and controlled access to object data can be obtained. This yields a security dimension to the “A” (accessible) in FAIR, which is clearly needed in domains like security and intelligence. These domains need data to be shared under tight controls, with widely varying individual access rights. In this paper, we propose an approach called Ontology-Based Access Control (OBAC), which utilizes concepts and relations from a data set's domain ontology. We argue that ontology-based access policies contribute to data reusability and can be reconciled with privacy-aware data access policies. We illustrate our OBAC approach through a proof-of-concept and propose that OBAC to be adopted as a best practice for access management of FAIR data.","Christopher Brewster,Barry Nouwt,Stephan Raajimakers,Jack Verhoosel",Research & Practice,Article or Journal,Ontology,English
Ontology-based Data Management in Healthcare,https://www.researchgate.net/publication/380513046_Ontology-based_Data_Management_in_Healthcare,"Nowadays, the study of Big Data has become crucial to guarantee technical advancements in the large majority of the modern computer systems. Within the Healthcare context, this is even a more valid challenge, having the requirement to deploy systems capable of tacking huges amounts of periodically-generated data and with clear standards for assessing data quality, in order to carry on any kind of study. Therefore, the aim of this thesis is to present the results of the application of an Ontology-based data management (OBDM) methodology, developed in the context of the Italian Registry of implantable prostheses (RIPI) project, at National Institute of Health. In particular, its application from scratch to the Italian Arthroplasty Registry (RIAP), one of the registries included in RIPI, is presented. Moreover, the same methodology has been also followed by the Sapienza information-based Technology InnovaTion Center for Health (STITCH) research group to deal with another relevant healthcare domain: the management of the Italian Association of Diabetologists (AMD) data. Healthcare domains are usually suitable to be modeled through ontologies, since they follow rules which are well-known by the involved stakeholders. However, clinical data are often provided by several local sources, thus they have to be properly integrated into a central repository in order to be clean and standardized. For this reason, managing this process requires a tight collaboration between computer scientists and healthcare stakeholders, with the purpose of creating systems capable of leveraging the inestimable value of healthcare data through the most suitable approaches of the field. RIAP data layer has been improved up to the point of allowing the project managers to publish a cumulative report on fifteen years of the activity of the registry; AMD dataset was centralized, cleansed and standardized so that several research groups could start to investigate on data, using a data-driven approach to unlock the potential of the involved medical information. From this two real-world experiences, it is possible to conclude that ontologies can enhance healthcare capabilities not only to express the expertise of the clinicians, but also to ease data analytics processes and research.",Riccardo Valentini,Research & Practice,Article or Journal,"Ontology,Data Structures",English
Open Knowledge Network Roadmap: Powering the Next Data Revolution,https://nsf-gov-resources.nsf.gov/2022-09/OKN%20Roadmap%20-%20Report_v03.pdf,"Open access to shared information is essential for the development and evolution of artificial intelligence (AI) and AI-powered solutions needed to address the complex challenges facing the nation and the world. The Open Knowledge Network (OKN), an interconnected network of knowledge graphs, would provide an essential public-data infrastructure for enabling an AI-driven future. It would facilitate the integration of diverse data needed to develop solutions to drive continued strong economic growth, expand opportunities, and address complex problems from climate change to social equity. The OKN Roadmap describes the key characteristics of the OKN and essential considerations in taking the effort forward in an effective and sustainable manner.","Chaitan Baru,Martin Halbert,Lara Campbell,Tess DeBlanc-Knowles,Wo Chang,Jemin George",Learn & Teach,Article or Journal,Knowledge Networks,English
"Open Knowledge Networks
",https://research.njit.edu/open-knowledge-networks,"Knowledge graphs constitute a powerful approach for organizing, representing, integrating, and accessing data and information from multiple structured and unstructured sources. Large-scale knowledge graphs are now employed at enterprise scales by the private sector. The success of such proprietary knowledge networks offers the potential for open knowledge networks (OKNs) that can support broad public use cases and can be shared in a manner that is secure and preserves privacy.",New Jersey Institute of Technology (NJIT),Learn & Teach,Article or Journal,Knowledge Networks,English
"Orchestrating Knowledge Networks: Alter-Oriented Brokering
",https://journals.sagepub.com/doi/full/10.1177/01492063221086247,"In knowledge networks, such as best-practice networks, industry forums, and professional communities, members of different organizations exchange knowledge for mutual and individual benefit. When properly managed, knowledge networks enable time- and resource-constrained individuals to engage across organizational and industry boundaries. Such networks often involve deliberate orchestration by a hub actor (individual, team, or organization), often referred to as the orchestrator. Orchestration in a network of individuals is essentially a form of brokering behavior. While most previous studies of orchestration and brokerage have adopted a broker-centric perspective, the present study advances an alter-oriented account of how brokering behavior influences relationships to create knowledge-related benefits for individual network members. Drawing on interviews with 51 members of a Belgian knowledge network focusing on best practices in research and development, this study explores the orchestrator's brokering behavior and ensuing benefits for network members. Based on these findings, the study describes an integrative model of alter-oriented brokering processes that modify, intermediate, and maintain relationships among alters in orchestrated knowledge networks. The study contributes by conceptualizing alter-orientation as a distinct brokering behavior, by unpacking the microfoundations of brokering in knowledge network orchestration, and by demonstrating the dynamics between knowledge and social dimensions of knowledge network orchestration.","Paavo Ritala,Charlotte De Kort,Benoit Gailly",Learn & Teach,Article or Journal,Knowledge Networks,English
"Organizational knowledge networks, search and exploratory invention
",https://www.sciencedirect.com/science/article/abs/pii/S0166497222002310,This paper examines the effect of decomposability in a firm's knowledge network—the extent to which knowledge elements in a firm's knowledge base are coupled with each other or isolated from each other in separate knowledge clusters—on external knowledge sourcing and exploratory invention.,Arusyak Zakaryan,Learn & Teach,Article or Journal,Knowledge Networks,English
"Peter Rose: COVID-19-Net: Integración de datos de salud, patógenos y ambientales en un gráfico de conocimiento para el seguimiento, análisis y pronóstico de casos",https://academiccommons.columbia.edu/doi/10.7916/f9ez-t539,"Esta presentación fue hecha por Peter Rose, UC San Diego. El título de la presentación es: ""COVID-19-Net: Integración de datos de salud, patógenos y ambientales en un gráfico de conocimiento para el seguimiento, análisis y pronóstico de casos"".","Peter Rose,COVID Information Commons (CIC)",Research & Practice,Presentation,"COVID,Knowledge Graphs",English
"Peter Rose: COVID-19-Net: Integrating Health, Pathogen and Environmental Data into a Knowledge Graph for Case Tracking, Analysis, and Forecasting",https://doi.org/10.7916/1ee5-ek46,"This presentation was made by Peter Rose, San Diego Supercomputer Center, UC San Diego. The presentation's title is: ""COVID-19-Net: Integrating Health, Pathogen and Environmental Data into a Knowledge Graph for Case Tracking, Analysis, and Forecasting."" Funded by NSF Office of Integrative Activities.","Peter Rose,COVID Information Commons (CIC)",Research & Practice,Presentation,"COVID,Knowledge Graphs",English
